n.name,m.name,e
Nsfl1c,Tfrc,[:Interact]
Ogdh,Suclg2,[:Interact]
Pak1,Pak2,[:Interact]
Pak1,Sptan1,[:Interact]
Pak1,Tfrc,[:Interact]
Pak2,Sptan1,[:Interact]
Pak2,Tfrc,[:Interact]
Prdx1,Prdx5,[:Interact]
Prdx3,Prdx5,[:Interact]
Prdx5,Txnrd1,[:Interact]
Psma1,Psmd12,[:Interact]
Psma1,Ubqln4,[:Interact]
Psmd12,Ubqln4,[:Interact]
Pxn,Tln1,[:Interact]
Pxn,Vcl,[:Interact]
Rad23a,Ubqln4,[:Interact]
Rpl14,Rpl22,[:Interact]
Rpl14,Rpl23a,[:Interact]
Rpl14,Rpl24,[:Interact]
Rpl14,Rpl30,[:Interact]
Rpl14,Rpl32,[:Interact]
Rpl14,Rps13,[:Interact]
Rpl22,Rpl23a,[:Interact]
Rpl22,Rpl24,[:Interact]
Rpl22,Rpl30,[:Interact]
Rpl22,Rpl32,[:Interact]
Rpl22,Rps13,[:Interact]
Rpl23a,Rpl24,[:Interact]
Rpl23a,Rpl30,[:Interact]
Rpl23a,Rpl32,[:Interact]
Rpl23a,Rps13,[:Interact]
Rpl23a,Tufm,[:Interact]
Rpl24,Rpl30,[:Interact]
Rpl24,Rpl32,[:Interact]
Rpl24,Rps13,[:Interact]
Rpl30,Rpl32,[:Interact]
Rpl30,Rps13,[:Interact]
Rpl32,Rps13,[:Interact]
Rps13,Tufm,[:Interact]
Ruvbl2,Uchl5,[:Interact]
Ruvbl2,Sdf2l1,[:Interact]
Sdha,Suclg2,[:Interact]
Septin1,Septin2,[:Interact]
Septin2,Tuba1a,[:Interact]
Septin2,Tuba4a,[:Interact]
Septin2,Tubb5,[:Interact]
Slk,Tfrc,[:Interact]
Sptan1,Tmed7,[:Interact]
Sptan1,Tmed3,[:Interact]
Tln1,Tuba4a,[:Interact]
Tln1,Vcl,[:Interact]
Tuba1a,Tubb3,[:Interact]
Tuba1a,Tubb5,[:Interact]
Tuba1c,Tubb3,[:Interact]
Tuba1c,Tubb5,[:Interact]
Tuba4a,Tubb3,[:Interact]
Tuba4a,Tubb5,[:Interact]
Tuba4a,Vcl,[:Interact]
Tuba8,Tubb3,[:Interact]
Tuba8,Tubb5,[:Interact]
Uba1,Uba6,[:Interact]
Tmed3,Tmed7,[:Interact]
Stk10,Tfrc,[:Interact]
Shmt2,Tfrc,[:Interact]
Rps9,Tmed7,[:Interact]
Rps9,Tmed3,[:Interact]
Rpl35,Rps9,[:Interact]
Rpl26,Rps9,[:Interact]
Rpl26,Rpl35,[:Interact]
Rpl19,Rps9,[:Interact]
Rpl19,Rpl35,[:Interact]
Rpl19,Rpl26,[:Interact]
Rpl18a,Rps9,[:Interact]
Rpl18a,Rpl35,[:Interact]
Rpl18a,Rpl26,[:Interact]
Rpl18a,Rpl19,[:Interact]
Rpl13,Rps9,[:Interact]
Rpl13,Rpl35,[:Interact]
Rpl13,Rpl26,[:Interact]
Rpl13,Rpl19,[:Interact]
Rpl13,Rpl18a,[:Interact]
Rpl11,Tmed7,[:Interact]
Rpl11,Tmed3,[:Interact]
Rpl11,Rps9,[:Interact]
Rpl11,Rpl35,[:Interact]
Rpl11,Rpl26,[:Interact]
Rpl11,Rpl19,[:Interact]
Rpl11,Rpl18a,[:Interact]
Rpl11,Rpl13,[:Interact]
Ppib,Serpinh1,[:Interact]
Ppib,Sdf2l1,[:Interact]
Phgdh,Shmt2,[:Interact]
Pgm1,Pygb,[:Interact]
Pgm1,Pgm3,[:Interact]
Pgm1,Pgm2,[:Interact]
Pdia4,Sdf2l1,[:Interact]
Pdia4,Ppib,[:Interact]
Nup62cl,Plekha7,[:Interact]
Nagk,Pgm3,[:Interact]
Mthfd1l,Shmt2,[:Interact]
Lcp1,Pls3,[:Interact]
Lama1,Lama5,[:Interact]
Kdelr2,Sptan1,[:Interact]
Kdelr2,Tmed7,[:Interact]
Kdelr2,Tmed3,[:Interact]
Itga6,Lama5,[:Interact]
Itga6,Lama1,[:Interact]
Itga6,Itgav,[:Interact]
Itga2b,Lama5,[:Interact]
Itga2b,Lama1,[:Interact]
Itga2b,Itgav,[:Interact]
Itga2b,Itga6,[:Interact]
Isg15,Rps9,[:Interact]
Isg15,Rpl11,[:Interact]
Impact,Txnrd1,[:Interact]
Impact,Phgdh,[:Interact]
Ighm,Jchain,[:Interact]
Igf2r,Tfrc,[:Interact]
Hspe1,Tfrc,[:Interact]
Hspe1,Shmt2,[:Interact]
Hmox1,Hmox2,[:Interact]
Hm13,Hmox1,[:Interact]
Hk2,Pgm1,[:Interact]
Hibadh,Maoa,[:Interact]
Got1,Ldhb,[:Interact]
Got1,Nup62cl,[:Interact]
Got1,Idh1,[:Interact]
Gne,Slc3a2,[:Interact]
Gne,Pgm3,[:Interact]
Gne,Pgm2,[:Interact]
Gbe1,Slc3a2,[:Interact]
Gbe1,Pygb,[:Interact]
Gbe1,Gys1,[:Interact]
Foxo4,Stk4,[:Interact]
Foxo4,Sfn,[:Interact]
Fbxw8,Obsl1,[:Interact]
Eml4,Ppp2r1b,[:Interact]
Eif2ak2,Isg15,[:Interact]
Dpm1,Gmppb,[:Interact]
Doxl1,Srm,[:Interact]
Doxl1,Maoa,[:Interact]
Dera,Ldhb,[:Interact]
Dera,Pgm3,[:Interact]
Dera,Pgm2,[:Interact]
Dera,Pgm1,[:Interact]
Dera,Hk2,[:Interact]
Dag1,Lama5,[:Interact]
Dag1,Lama1,[:Interact]
Cyp2s1,Gstp1,[:Interact]
Copz2,Sptan1,[:Interact]
Copz2,Tmed7,[:Interact]
Copz2,Tmed3,[:Interact]
Copz2,Kdelr2,[:Interact]
Comt,Maoa,[:Interact]
Col1a1,Serpinh1,[:Interact]
Col1a1,Ppib,[:Interact]
Col1a1,Plod1,[:Interact]
Col1a1,P4ha2,[:Interact]
Col1a1,Itga6,[:Interact]
Col1a1,Itga2b,[:Interact]
Cmpk2,Impact,[:Interact]
Clip1,Eml4,[:Interact]
Cdh1,Rpl18a,[:Interact]
Cdh1,Rpl11,[:Interact]
Cdh1,Coro1c,[:Interact]
Cda,Dera,[:Interact]
Cda,Cmpk2,[:Interact]
Cd59,Lman2,[:Interact]
Cd59,Sptan1,[:Interact]
Cd59,Tmed7,[:Interact]
Cd59,Tmed3,[:Interact]
Cd59,Sec31a,[:Interact]
Cd59,Kdelr2,[:Interact]
Cd59,Copz2,[:Interact]
Calr,Pdia4,[:Interact]
Calr,Pdia3,[:Interact]
C6,Plekha7,[:Interact]
C6,Nup62cl,[:Interact]
C6,Cd59,[:Interact]
Bhmt,Shmt2,[:Interact]
B2m,Tfrc,[:Interact]
B2m,Sec31a,[:Interact]
B2m,Pdia3,[:Interact]
B2m,Calr,[:Interact]
Amot,Stk4,[:Interact]
Amot,Sfn,[:Interact]
Alg5,Dpm1,[:Interact]
Aldoc,Ldhb,[:Interact]
Aldoc,Pgm1,[:Interact]
Aldoc,Hk2,[:Interact]
Aldoc,Dera,[:Interact]
Aldh9a1,Maoa,[:Interact]
Aldh9a1,Hibadh,[:Interact]
Aldh9a1,Doxl1,[:Interact]
Aldh9a1,Dera,[:Interact]
Adk,Ak2,[:Interact]
Adk,Jchain,[:Interact]
Ada,Adk,[:Interact]
Gpx3,Gstp1,[:Interact]
