node1,node2,node1_id,node2_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
Iqgap1,Vcl,10090.ENSMUSP00000128278,10090.ENSMUSP00000022369,0,0,0,0.0,0,0.0,0.4,0,0.4
Iqgap1,Pak2,10090.ENSMUSP00000128278,10090.ENSMUSP00000023467,0,0,0,0.0,0,0.059,0.4,0,0.411
Iqgap1,Tfrc,10090.ENSMUSP00000128278,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.0,0.4,0,0.4
Iqgap1,Tln1,10090.ENSMUSP00000128278,10090.ENSMUSP00000030187,0,0,0,0.0,0,0.0,0.4,0,0.4
Iqgap1,Pak1,10090.ENSMUSP00000128278,10090.ENSMUSP00000033040,0,0,0,0.0,0,0.059,0.4,0,0.411
Iqgap1,Slk,10090.ENSMUSP00000128278,10090.ENSMUSP00000049977,0,0,0,0.0,0,0.0,0.4,0,0.4
Iqgap1,Sptan1,10090.ENSMUSP00000128278,10090.ENSMUSP00000121116,0,0,0,0.0,0,0.062,0.4,0,0.413
Itga5,Lyn,10090.ENSMUSP00000023128,10090.ENSMUSP00000038838,0,0,0,0.0,0,0.078,0.72,0,0.73
Itga5,Tln1,10090.ENSMUSP00000023128,10090.ENSMUSP00000030187,0,0,0,0.0,0,0.073,0.65,0,0.661
Itga5,Pxn,10090.ENSMUSP00000023128,10090.ENSMUSP00000083709,0,0,0,0.0,0,0.1,0.65,0,0.671
Kpna4,Kpnb1,10090.ENSMUSP00000141227,10090.ENSMUSP00000001479,0,0,0,0.0,0,0.658,0.72,0,0.9
Krt5,Krt75,10090.ENSMUSP00000023709,10090.ENSMUSP00000036246,0,0,0,0.975,0,0.0,0.4,0,0.4
Lman2,Napa,10090.ENSMUSP00000021940,10090.ENSMUSP00000006181,0,0,0,0.0,0,0.0,0.5,0,0.499
Ltf,Tfrc,10090.ENSMUSP00000035077,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.556,0.0,0,0.556
Myh14,Pak2,10090.ENSMUSP00000046059,10090.ENSMUSP00000023467,0,0,0,0.0,0,0.0,0.5,0,0.499
Myh14,Pak1,10090.ENSMUSP00000046059,10090.ENSMUSP00000033040,0,0,0,0.0,0,0.0,0.5,0,0.499
Myh14,Myl6,10090.ENSMUSP00000046059,10090.ENSMUSP00000128803,0,0,0,0.0,0,0.395,0.9,0,0.936
Myl6,Vcl,10090.ENSMUSP00000128803,10090.ENSMUSP00000022369,0,0,0,0.0,0,0.222,0.5,0,0.594
Myl6,Pak2,10090.ENSMUSP00000128803,10090.ENSMUSP00000023467,0,0,0,0.0,0,0.107,0.5,0,0.534
Myl6,Tln1,10090.ENSMUSP00000128803,10090.ENSMUSP00000030187,0,0,0,0.0,0,0.0,0.5,0,0.499
Myl6,Pak1,10090.ENSMUSP00000128803,10090.ENSMUSP00000033040,0,0,0,0.0,0,0.107,0.5,0,0.534
Myl6,Ppp1ca,10090.ENSMUSP00000128803,10090.ENSMUSP00000039109,0,0,0,0.0,0,0.163,0.9,0,0.912
Myl6,Pxn,10090.ENSMUSP00000128803,10090.ENSMUSP00000083709,0,0,0,0.0,0,0.075,0.5,0,0.517
Myl6,Myo5a,10090.ENSMUSP00000128803,10090.ENSMUSP00000116028,0,0,0,0.0,0,0.299,0.54,0,0.663
Myo1a,Myo1c,10090.ENSMUSP00000078540,10090.ENSMUSP00000104069,0,0,0,0.909,0,0.18,0.72,0,0.76
Myo1c,Myo5a,10090.ENSMUSP00000104069,10090.ENSMUSP00000116028,0,0,0,0.771,0,0.064,0.4,0,0.414
Myo1c,Sptan1,10090.ENSMUSP00000104069,10090.ENSMUSP00000121116,0,0,0,0.0,0,0.068,0.5,0,0.514
Napa,Sptan1,10090.ENSMUSP00000006181,10090.ENSMUSP00000121116,0,0,0,0.0,0,0.0,0.5,0,0.499
Napa,Tfrc,10090.ENSMUSP00000006181,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.0,0.5,0,0.499
Napa,Stx12,10090.ENSMUSP00000006181,10090.ENSMUSP00000030698,0,0,0,0.0,0,0.743,0.72,0,0.925
Nsfl1c,Pak2,10090.ENSMUSP00000086542,10090.ENSMUSP00000023467,0,0,0,0.0,0,0.044,0.4,0,0.401
Nsfl1c,Tfrc,10090.ENSMUSP00000086542,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.0,0.4,0,0.4
Nsfl1c,Pak1,10090.ENSMUSP00000086542,10090.ENSMUSP00000033040,0,0,0,0.0,0,0.044,0.4,0,0.401
Nsfl1c,Tuba1b,10090.ENSMUSP00000086542,10090.ENSMUSP00000076777,0,0,0,0.0,0,0.0,0.4,0,0.4
Ogdh,Suclg2,10090.ENSMUSP00000091041,10090.ENSMUSP00000144827,0,0,0,0.0,0,0.069,0.72,0,0.728
Pak1,Pak2,10090.ENSMUSP00000033040,10090.ENSMUSP00000023467,0,0,0,0.978,0,0.177,0.9,0,0.914
Pak1,Tfrc,10090.ENSMUSP00000033040,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.0,0.4,0,0.4
Pak1,Tuba1b,10090.ENSMUSP00000033040,10090.ENSMUSP00000076777,0,0,0,0.0,0,0.054,0.4,0,0.408
Pak1,Sptan1,10090.ENSMUSP00000033040,10090.ENSMUSP00000121116,0,0,0,0.0,0,0.063,0.4,0,0.413
Pak2,Tuba1b,10090.ENSMUSP00000023467,10090.ENSMUSP00000076777,0,0,0,0.0,0,0.042,0.4,0,0.4
Pak2,Tfrc,10090.ENSMUSP00000023467,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.0,0.4,0,0.4
Pak2,Sptan1,10090.ENSMUSP00000023467,10090.ENSMUSP00000121116,0,0,0,0.0,0,0.063,0.4,0,0.413
Pcbp1,Ptbp1,10090.ENSMUSP00000054863,10090.ENSMUSP00000126192,0,0,0,0.0,0,0.137,0.4,0,0.46
Ppp1ca,Rpl14,10090.ENSMUSP00000039109,10090.ENSMUSP00000131489,0,0,0,0.0,0,0.455,0.0,0,0.455
Prdx1,Prdx5,10090.ENSMUSP00000114159,10090.ENSMUSP00000025904,0,0,0,0.0,0,0.365,0.4,0,0.602
Prdx3,Prdx5,10090.ENSMUSP00000025961,10090.ENSMUSP00000025904,0,0,0,0.0,0,0.365,0.8,0,0.867
Psma1,Ubqln4,10090.ENSMUSP00000033008,10090.ENSMUSP00000008748,0,0,0,0.0,0,0.942,0.0,0,0.942
Psma1,Psmd12,10090.ENSMUSP00000033008,10090.ENSMUSP00000021063,0,0,0,0.0,0,0.982,0.0,0,0.982
Psmd12,Ubqln4,10090.ENSMUSP00000021063,10090.ENSMUSP00000008748,0,0,0,0.0,0,0.942,0.54,0,0.972
Pxn,Vcl,10090.ENSMUSP00000083709,10090.ENSMUSP00000022369,0,0,0,0.0,0,0.671,0.9,0,0.965
Pxn,Tln1,10090.ENSMUSP00000083709,10090.ENSMUSP00000030187,0,0,0,0.0,0,0.277,0.8,0,0.849
Rack1,Rpl22,10090.ENSMUSP00000020640,10090.ENSMUSP00000118787,0,0,0,0.0,0,0.97,0.0,0,0.97
Rack1,Rps13,10090.ENSMUSP00000020640,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.99,0.0,0,0.99
Rack1,Rpl14,10090.ENSMUSP00000020640,10090.ENSMUSP00000131489,0,0,0,0.0,0,0.99,0.0,0,0.99
Rack1,Rpl30,10090.ENSMUSP00000020640,10090.ENSMUSP00000106014,0,0,0,0.0,0,0.99,0.0,0,0.99
Rack1,Rpl23a,10090.ENSMUSP00000020640,10090.ENSMUSP00000099541,0,0,0,0.0,0,0.99,0.0,0,0.99
Rack1,Rpl32,10090.ENSMUSP00000020640,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.99,0.0,0,0.99
Rack1,Rpl24,10090.ENSMUSP00000020640,10090.ENSMUSP00000023269,0,0,0,0.0,0,0.99,0.0,0,0.99
Rad23a,Ubqln4,10090.ENSMUSP00000105383,10090.ENSMUSP00000008748,0,0,0,0.0,0,0.548,0.0,0,0.548
Rad23a,Rpl24,10090.ENSMUSP00000105383,10090.ENSMUSP00000023269,0,0,0,0.0,0,0.413,0.0,0,0.412
Rad23a,Rpl23a,10090.ENSMUSP00000105383,10090.ENSMUSP00000099541,0,0,0,0.0,0,0.413,0.0,0,0.412
Rad23a,Rpl30,10090.ENSMUSP00000105383,10090.ENSMUSP00000106014,0,0,0,0.0,0,0.413,0.0,0,0.412
Rad23a,Rpl32,10090.ENSMUSP00000105383,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.413,0.0,0,0.412
Rpl14,Rpl24,10090.ENSMUSP00000131489,10090.ENSMUSP00000023269,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl14,Rpl23a,10090.ENSMUSP00000131489,10090.ENSMUSP00000099541,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl14,Rpl30,10090.ENSMUSP00000131489,10090.ENSMUSP00000106014,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl14,Rpl22,10090.ENSMUSP00000131489,10090.ENSMUSP00000118787,0,0,0,0.0,0,0.974,0.5,0,0.986
Rpl14,Rps13,10090.ENSMUSP00000131489,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl14,Rpl32,10090.ENSMUSP00000131489,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl22,Rpl24,10090.ENSMUSP00000118787,10090.ENSMUSP00000023269,0,0,0,0.0,0,0.975,0.5,0,0.987
Rpl22,Rpl23a,10090.ENSMUSP00000118787,10090.ENSMUSP00000099541,0,0,0,0.0,0,0.974,0.5,0,0.986
Rpl22,Rpl30,10090.ENSMUSP00000118787,10090.ENSMUSP00000106014,0,0,0,0.0,0,0.972,0.5,0,0.985
Rpl22,Rps13,10090.ENSMUSP00000118787,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.962,0.0,0,0.962
Rpl22,Rpl32,10090.ENSMUSP00000118787,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.97,0.5,0,0.984
Rpl23a,Ubqln4,10090.ENSMUSP00000099541,10090.ENSMUSP00000008748,0,0,0,0.0,0,0.413,0.0,0,0.412
Rpl23a,Rpl24,10090.ENSMUSP00000099541,10090.ENSMUSP00000023269,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl23a,Tufm,10090.ENSMUSP00000099541,10090.ENSMUSP00000095656,0,0,0,0.0,0,0.978,0.0,0,0.978
Rpl23a,Rpl30,10090.ENSMUSP00000099541,10090.ENSMUSP00000106014,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl23a,Rpl32,10090.ENSMUSP00000099541,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl23a,Rps13,10090.ENSMUSP00000099541,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl24,Ubqln4,10090.ENSMUSP00000023269,10090.ENSMUSP00000008748,0,0,0,0.0,0,0.413,0.0,0,0.412
Rpl24,Rps13,10090.ENSMUSP00000023269,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl24,Rpl30,10090.ENSMUSP00000023269,10090.ENSMUSP00000106014,0,0,0,0.0,0,0.99,0.72,0,0.997
Rpl24,Rpl32,10090.ENSMUSP00000023269,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.99,0.72,0,0.997
Rpl30,Ubqln4,10090.ENSMUSP00000106014,10090.ENSMUSP00000008748,0,0,0,0.0,0,0.413,0.0,0,0.412
Rpl30,Rps13,10090.ENSMUSP00000106014,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.99,0.0,0,0.99
Rpl30,Rpl32,10090.ENSMUSP00000106014,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.99,0.72,0,0.997
Rpl32,Ubqln4,10090.ENSMUSP00000145350,10090.ENSMUSP00000008748,0,0,0,0.0,0,0.413,0.0,0,0.412
Rpl32,Rps13,10090.ENSMUSP00000145350,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.99,0.0,0,0.99
Rps13,Tufm,10090.ENSMUSP00000126294,10090.ENSMUSP00000095656,0,0,0,0.0,0,0.729,0.0,0,0.729
Sdha,Suclg2,10090.ENSMUSP00000022062,10090.ENSMUSP00000144827,0,0,0,0.0,0,0.127,0.9,0,0.908
Sept1,Sept2,10090.ENSMUSP00000101921,10090.ENSMUSP00000027495,0,0,0,0.952,0,0.477,0.54,0,0.749
Sept2,Tubb5,10090.ENSMUSP00000027495,10090.ENSMUSP00000001566,0,0,0,0.0,0,0.0,0.4,0,0.4
Sept2,Tubb4b,10090.ENSMUSP00000027495,10090.ENSMUSP00000042342,0,0,0,0.0,0,0.0,0.4,0,0.4
Sept2,Tuba4a,10090.ENSMUSP00000027495,10090.ENSMUSP00000140657,0,0,0,0.0,0,0.053,0.4,0,0.407
Sept2,Tuba1a,10090.ENSMUSP00000027495,10090.ENSMUSP00000094778,0,0,0,0.0,0,0.053,0.4,0,0.407
Slk,Tfrc,10090.ENSMUSP00000049977,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.0,0.4,0,0.4
Tfrc,Tuba1b,10090.ENSMUSP00000023486,10090.ENSMUSP00000076777,0,0,0,0.0,0,0.0,0.4,0,0.4
Tln1,Vcl,10090.ENSMUSP00000030187,10090.ENSMUSP00000022369,0,0,0,0.0,0,0.904,0.9,0,0.99
Tln1,Tuba4a,10090.ENSMUSP00000030187,10090.ENSMUSP00000140657,0,0,0,0.0,0,0.061,0.4,0,0.412
